TotalMoney,GameName,Genre,PlayerNo,TournamentNo,Top_Country,Top_Country_Earnings
246715.83,Super Smash Bros. Brawl,Fighting Game,499,344,United States,197341.12
1511976.47,Super Smash Bros. for Wii U,Fighting Game,1264,1022,United States,877229.51
3210134.19,Super Smash Bros. Melee,Fighting Game,1878,2608,United States,2420764.48
1311867.69,Super Smash Bros. Ultimate,Fighting Game,1879,1197,United States,701269.25
23678.05,Super Street Fighter II Turbo,Fighting Game,104,44,United States,15479.09
16360,Super Street Fighter II Turbo HD Remix,Fighting Game,29,8,United States,14360
20877.3,Super Street Fighter IV,Fighting Game,40,16,United States,9315
343878.08,Super Street Fighter IV Arcade Edition,Fighting Game,153,202,Japan,160296.98
4901.26,Supreme Commander,Strategy,0,1,None,0
1290.01,Supreme Commander: Forged Alliance,Strategy,0,1,None,0
1330.81,Tatsunoko vs. Capcom: Ultimate All-Stars,Fighting Game,13,8,United States,1030
718078.81,Team Fortress 2,First-Person Shooter,1364,197,United States,348503.14
819313.65,Teamfight Tactics,Strategy,159,15,United States,233175
820,Teenage Mutant Ninja Turtles: Tournament Fighters,Fighting Game,7,2,United States,820
0,Teeworlds,Multiplayer Online Battle Arena,0,0,None,0
12500,Tekken 4,Fighting Game,4,4,United States,0
10250,Tekken 5,Fighting Game,10,9,United States,10250
12180,Tekken 5: Dark Resurrection,Fighting Game,18,5,United States,11335
119874.64,Tekken 6,Fighting Game,59,30,United States,56523.74
1687721.25,Tekken 7,Fighting Game,425,235,"Korea, Republic of",721643.78
0,Tekken Tag Tournament,Fighting Game,7,4,United Kingdom,0
125965.7,Tekken Tag Tournament 2,Fighting Game,142,138,"Korea, Republic of",66431
456721.47,TEPPEN,Strategy,12,1,"Taiwan, Republic of China",280883.69
2514.5,Tetr.io,Puzzle Game,13,9,United States,1454.01
16026.38,Tetris,Puzzle Game,27,7,United States,13065.13
221,Tetris Ultimate,Puzzle Game,3,1,Canada,170
27250,The Division 2,Third-Person Shooter,40,2,United States,13125
5000,The Elder Scrolls: Legends,Collectible Card Game,3,1,United States,5000
20,The Last Blade 2,Fighting Game,3,1,United States,18
580,Them's Fightin' Herds,Fighting Game,10,4,United States,565
1555.01,Touhou Hisoutensoku ,Fighting Game,12,3,United States,1085.51
0,TowerFall: Ascension,Fighting Game,0,0,None,0
45691.03,Trackmania (2020),Racing,71,30,France,26544.08
22098.74,TrackMania 2: Canyon,Racing,21,36,Germany,6127.32
198363.85,TrackMania 2: Stadium,Racing,345,281,France,63229.78
779.34,Trackmania 2: Valley,Racing,6,2,Germany,378.46
93381.66,TrackMania Nations,Racing,18,8,France,34381.66
167386.65,TrackMania Nations Forever,Racing,109,73,Sweden,45848.68
679.41,Trackmania Turbo,Racing,6,2,France,510.22
1027.5,Trackmania United,Racing,3,1,France,1027.5
0,Trackmania United Forever,Racing,0,0,None,0
0,Trials Fusion,Racing,0,0,None,0
1000000,Turbo Racing League,Racing,16,9,United States,800000
100,Twinkle Star Sprites,Puzzle Game,3,1,United States,100
116733.16,Ultimate Marvel vs. Capcom 3,Fighting Game,190,169,United States,100625.35
150,Ultimate Mortal Kombat 3,Fighting Game,6,2,United States,150
320,Ultra Fight Da! Kyanta 2,Fighting Game,3,1,United States,288
816713.46,Ultra Street Fighter IV,Fighting Game,231,229,Japan,460748.79
140,Umineko: Golden Fantasia,Fighting Game,6,2,United States,140
46235.07,Uncharted 4: A Thief's End,First-Person Shooter,5,1,Canada,38210.8
6025.76,Under Night In-Birth EXE: Late,Fighting Game,52,23,United States,5273.28
46553.33,Under Night In-Birth EXE: Late[st],Fighting Game,98,34,United States,22557.44
1050,Under Night In-Birth Exe:Late[cl-r],Fighting Game,7,2,United States,715
20000,UNO,Strategy,16,2,United States,14900
89000,Unreal Tournament,First-Person Shooter,14,5,Germany,40000
5084.97,Unreal Tournament (2016),First-Person Shooter,82,8,United Kingdom,976.55
147473.91,Unreal Tournament 2003,First-Person Shooter,33,14,United States,39000
133969.33,Unreal Tournament 2004,First-Person Shooter,41,12,Germany,48947.2
104977.82,Unreal Tournament 3,First-Person Shooter,7,4,Portugal,42520.51
797421.19,Vainglory,Multiplayer Online Battle Arena,247,35,United States,216009.95
1272788.03,VALORANT,First-Person Shooter,1662,247,United States,324655.6
9185.95,Vampire Savior,Fighting Game,32,18,United States,7488.9
0,Virtua Fighter 4: Evolution,Fighting Game,6,3,United Kingdom,0
39830,Virtua Fighter 5,Fighting Game,14,7,Japan,26250
573.77,Virtua Fighter 5 Final Showdown,Fighting Game,28,6,United States,413.91
5811479.73,WarCraft III,Strategy,558,1335,"Korea, Republic of",2054554.12
314925.29,WarCraft III: Reforged,Strategy,77,61,China,137680.86
109555,Warface,First-Person Shooter,32,2,Russian Federation,89448.6
79816.5,"Warhammer 40,000: Dawn of War",Strategy,7,3,"Korea, Republic of",45000
0,"Warhammer 40,000: Dawn of War II",Strategy,0,0,None,0
1000,Warparty,Strategy,4,1,Germany,450
183,Warsow,First-Person Shooter,2,1,Sweden,183
4172.16,Windjammers,Strategy,32,11,United States,2958
12000,Wise Star 2,Puzzle Game,3,1,Italy,7000
140963.24,Wolfenstein: Enemy Territory,First-Person Shooter,152,18,Estonia,49392.32
293338.23,World in Conflict,Strategy,38,11,United Kingdom,62120.63
3656496.59,World of Tanks,Strategy,403,50,Russian Federation,1290113.15
63330,World of Tanks Blitz,Strategy,14,6,Russian Federation,8500.03
4957837.61,World of WarCraft,Role-Playing Game,413,118,United States,1416887.48
50000,WWE 2K20,Fighting Game,20,2,United States,43500
5489.65,Xonotic,First-Person Shooter,133,25,Netherlands,1881.44
48746.72,Yu-Gi-Oh! Duel Links,Collectible Card Game,328,219,United States,19983.28
100000,Zula,First-Person Shooter,20,1,Poland,65000
